Points_0,Points_1,Points_2,displacement_0,displacement_1
0.00396,0,0,-0.00203447,0.180208
0.00418,0,0,-0.00214958,0.180198
0.0044,0,0,-0.00226468,0.180188
0.00462,0,0,-0.00237979,0.180178
0.00484,0,0,-0.00249489,0.180168
0.00506,0,0,-0.00260999,0.180152
0.00528,0,0,-0.0027251,0.180121
0.0055,0,0,-0.0028402,0.180091
0.00572,0,0,-0.0029553,0.18006
0.00594,0,0,-0.00307041,0.18003
0.00616,0,0,-0.00318551,0.179999
0.00638,0,0,-0.00330062,0.179969
0.0066,0,0,-0.00341572,0.179938
0.00682,0,0,-0.00353082,0.179907
0.00704,0,0,-0.00364593,0.179877
0.00726,0,0,-0.00376103,0.179846
0.00748,0,0,-0.00387613,0.179816
0.0077,0,0,-0.00399124,0.179785
0.00792,0,0,-0.00410634,0.179754
0.00814,0,0,-0.00422145,0.179724
0.00836,0,0,-0.00433655,0.179693
0.00858,0,0,-0.00445165,0.179663
0.0088,0,0,-0.00456676,0.179632
0.00902,0,0,-0.00468186,0.179602
0.00924,0,0,-0.00479697,0.179571
0.00946,0,0,-0.00491207,0.17954
0.00968,0,0,-0.00502717,0.17951
0.0099,0,0,-0.00514228,0.179479
0.01012,0,0,-0.00525738,0.179437
0.01034,0,0,-0.00537248,0.179386
0.01056,0,0,-0.00548759,0.179335
0.01078,0,0,-0.00560269,0.179284
0.011,0,0,-0.0057178,0.179233
0.01122,0,0,-0.0058329,0.179181
0.01144,0,0,-0.005948,0.17913
0.01166,0,0,-0.00606311,0.179079
0.01188,0,0,-0.00617821,0.179028
0.0121,0,0,-0.00629331,0.178976
0.01232,0,0,-0.00640842,0.178925
0.01254,0,0,-0.00652352,0.178874
0.01276,0,0,-0.00663863,0.178823
0.01298,0,0,-0.00675373,0.178772
0.0132,0,0,-0.00686883,0.17872
0.01342,0,0,-0.00698394,0.178669
0.01364,0,0,-0.00709904,0.178618
0.01386,0,0,-0.00721414,0.178567
0.01408,0,0,-0.00732925,0.178515
0.0143,0,0,-0.00744435,0.178464
0.01452,0,0,-0.00755946,0.178413
0.01474,0,0,-0.00767456,0.178362
0.01496,0,0,-0.00778966,0.17831
0.01518,0,0,-0.00790477,0.178242
0.0154,0,0,-0.00801987,0.17817
0.01562,0,0,-0.00813497,0.178097
0.01584,0,0,-0.00825008,0.178025
0.01606,0,0,-0.00836518,0.177953
0.01628,0,0,-0.00848029,0.177881
0.0165,0,0,-0.00859539,0.177808
0.01672,0,0,-0.00871049,0.177736
0.01694,0,0,-0.0088256,0.177664
0.01716,0,0,-0.0089407,0.177591
0.01738,0,0,-0.0090558,0.177519
0.0176,0,0,-0.00917091,0.177447
0.01782,0,0,-0.00928601,0.177375
0.01804,0,0,-0.00940112,0.177302
0.01826,0,0,-0.00951622,0.17723
0.01848,0,0,-0.00963132,0.177158
0.0187,0,0,-0.00974643,0.177085
0.01892,0,0,-0.00986153,0.177013
0.01914,0,0,-0.00997663,0.176941
0.01936,0,0,-0.0100917,0.176869
0.01958,0,0,-0.0102068,0.176796
0.0198,0,0,-0.0103219,0.176724
0.02002,0,0,-0.010437,0.17665
0.02024,0,0,-0.0105522,0.176556
0.02046,0,0,-0.0106673,0.176462
